,base_market,quote_market,hedge_ratio,half_life
55,FIL-USD,SUSHI-USD,4.756386724668124,7.0
56,FIL-USD,AVAX-USD,0.14994459283851821,8.0
57,FIL-USD,SNX-USD,1.6243976077440316,6.0
58,FIL-USD,UNI-USD,0.85110670446007,6.0
59,FIL-USD,ETH-USD,0.002245446795057597,5.0
60,FIL-USD,XLM-USD,46.51858762166117,8.0
61,FIL-USD,EOS-USD,7.329122857562947,7.0
62,FIL-USD,ATOM-USD,0.5566217272938774,6.0
63,FIL-USD,LTC-USD,0.07662446125113395,7.0
64,CRV-USD,NEAR-USD,0.16232267438868625,8.0
65,CRV-USD,CELO-USD,0.6933347677986768,8.0
66,CRV-USD,1INCH-USD,1.1737757651494505,7.0
67,CRV-USD,SUSHI-USD,0.42809426276611806,10.0
68,CRV-USD,SNX-USD,0.14620880435514208,8.0
69,CRV-USD,UNI-USD,0.07658993723516289,9.0
70,CRV-USD,ETH-USD,0.00020198497058082691,2.0
71,CRV-USD,EOS-USD,0.6594564459790028,9.0
72,CRV-USD,LTC-USD,0.0068945110972562325,9.0
73,NEAR-USD,DOT-USD,0.4249529725259077,7.0
74,NEAR-USD,CELO-USD,4.268252302761141,11.0
75,NEAR-USD,1INCH-USD,7.227044638666216,8.0
76,NEAR-USD,ADA-USD,5.736364979584211,10.0
77,NEAR-USD,ENJ-USD,10.102543183471672,6.0
78,NEAR-USD,SUSHI-USD,2.6360020112944627,8.0
79,NEAR-USD,AVAX-USD,0.08308839090061479,15.0
80,NEAR-USD,SNX-USD,0.9002010908849967,9.0
81,NEAR-USD,ATOM-USD,0.3084084456436176,7.0
82,NEAR-USD,LTC-USD,0.04244835014111887,8.0
83,DOT-USD,1INCH-USD,17.003860569397,6.0
84,DOT-USD,ADA-USD,13.499027822424154,6.0
85,DOT-USD,AVAX-USD,0.19551691535389912,14.0
86,DOT-USD,LTC-USD,0.0998771038952625,7.0
87,BTC-USD,UNI-USD,7026.998920078228,4.0
88,BTC-USD,LTC-USD,632.4532568718075,8.0
89,CELO-USD,SNX-USD,0.21082341440010877,13.0
90,CELO-USD,UNI-USD,0.11044925984700772,10.0
91,CELO-USD,LTC-USD,0.009940944074700898,13.0
92,1INCH-USD,ADA-USD,0.7936455597326555,9.0
93,1INCH-USD,ENJ-USD,1.3973491406476652,10.0
94,1INCH-USD,AVAX-USD,0.011496373956948266,12.0
95,1INCH-USD,EOS-USD,0.5616895800782966,11.0
96,1INCH-USD,LTC-USD,0.0058724322261921764,9.0
97,ADA-USD,LTC-USD,0.007396394549315602,16.0
98,ENJ-USD,SUSHI-USD,0.26092765008605256,6.0
99,SUSHI-USD,ATOM-USD,0.11699413927594766,9.0
100,AVAX-USD,LTC-USD,0.5101858545530386,23.0
101,SNX-USD,ATOM-USD,0.34256681165117464,8.0
102,EOS-USD,LTC-USD,0.01045448374897606,4.0
